dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,5,v1_lda,max-prob,0.9513888888888888,0.95,0.41836651202934944,0.6934306569343065,0.30656934306569344,274
BCI_IV_2a,5,v1_lda,max-prob,1.0,1.0,0.3988798158711989,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,6,v1_lda,max-prob,0.052083333333333336,0.05,0.601388925069526,0.6666666666666667,0.3333333333333333,15
BCI_IV_2a,6,v1_lda,max-prob,0.10069444444444445,0.1,0.5904091065807621,0.5862068965517242,0.41379310344827586,29
BCI_IV_2a,6,v1_lda,max-prob,0.1527777777777778,0.15,0.5781194116049412,0.5227272727272727,0.4772727272727273,44
BCI_IV_2a,6,v1_lda,max-prob,0.2013888888888889,0.2,0.572225122984525,0.5344827586206897,0.46551724137931033,58
BCI_IV_2a,6,v1_lda,max-prob,0.25,0.25,0.5684586944426194,0.5416666666666667,0.4583333333333333,72
BCI_IV_2a,6,v1_lda,max-prob,0.3020833333333333,0.3,0.560765715890693,0.5632183908045977,0.4367816091954023,87
BCI_IV_2a,6,v1_lda,max-prob,0.3506944444444444,0.35,0.5554693640117554,0.6039603960396039,0.39603960396039606,101
BCI_IV_2a,6,v1_lda,max-prob,0.4027777777777778,0.4,0.5513872127880214,0.6379310344827587,0.3620689655172414,116
BCI_IV_2a,6,v1_lda,max-prob,0.4513888888888889,0.45,0.5443309766591518,0.6538461538461539,0.34615384615384615,130
BCI_IV_2a,6,v1_lda,max-prob,0.5,0.5,0.5396720742234076,0.6736111111111112,0.3263888888888889,144
BCI_IV_2a,6,v1_lda,max-prob,0.5520833333333334,0.55,0.5357812566307898,0.6666666666666667,0.3333333333333333,159
BCI_IV_2a,6,v1_lda,max-prob,0.6006944444444444,0.6,0.5319579924554659,0.676300578034682,0.3236994219653179,173
BCI_IV_2a,6,v1_lda,max-prob,0.6527777777777778,0.65,0.5271576204587715,0.6808510638297872,0.3191489361702128,188
BCI_IV_2a,6,v1_lda,max-prob,0.7013888888888888,0.7,0.5227400938288362,0.693069306930693,0.3069306930693069,202
BCI_IV_2a,6,v1_lda,max-prob,0.75,0.75,0.5173620147472158,0.7037037037037037,0.2962962962962963,216
BCI_IV_2a,6,v1_lda,max-prob,0.8020833333333334,0.8,0.5128472832573202,0.7099567099567099,0.29004329004329005,231
BCI_IV_2a,6,v1_lda,max-prob,0.8506944444444444,0.85,0.5047133609880514,0.7102040816326531,0.2897959183673469,245
BCI_IV_2a,6,v1_lda,max-prob,0.9027777777777778,0.9,0.49708038772438995,0.726923076923077,0.27307692307692305,260
BCI_IV_2a,6,v1_lda,max-prob,0.9513888888888888,0.95,0.4890861974271908,0.7408759124087592,0.2591240875912409,274
BCI_IV_2a,6,v1_lda,max-prob,1.0,1.0,0.4291337575306338,0.75,0.25,288
BCI_IV_2a,7,v1_lda,max-prob,0.052083333333333336,0.05,0.5254528026645378,0.0,1.0,15
BCI_IV_2a,7,v1_lda,max-prob,0.10069444444444445,0.1,0.5020882741268134,0.03448275862068961,0.9655172413793104,29
BCI_IV_2a,7,v1_lda,max-prob,0.1527777777777778,0.15,0.4838719762321584,0.09090909090909094,0.9090909090909091,44
BCI_IV_2a,7,v1_lda,max-prob,0.2013888888888889,0.2,0.45857400336999127,0.1724137931034483,0.8275862068965517,58
BCI_IV_2a,7,v1_lda,max-prob,0.25,0.25,0.44734266008251367,0.23611111111111116,0.7638888888888888,72
BCI_IV_2a,7,v1_lda,max-prob,0.3020833333333333,0.3,0.434685482318727,0.31034482758620685,0.6896551724137931,87
BCI_IV_2a,7,v1_lda,max-prob,0.3506944444444444,0.35,0.4256983043656158,0.3366336633663366,0.6633663366336634,101
BCI_IV_2a,7,v1_lda,max-prob,0.4027777777777778,0.4,0.4152417117851616,0.3706896551724138,0.6293103448275862,116
BCI_IV_2a,7,v1_lda,max-prob,0.4513888888888889,0.45,0.4031440430953044,0.39230769230769236,0.6076923076923076,130
BCI_IV_2a,7,v1_lda,max-prob,0.5,0.5,0.39749907296995096,0.4375,0.5625,144
BCI_IV_2a,7,v1_lda,max-prob,0.5520833333333334,0.55,0.3926459083974481,0.4591194968553459,0.5408805031446541,159
