run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
local_iiia_lda_margin,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.2321737769084751,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8265895953757225,0.1734104046242774,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.3198481374170829,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3815028901734104,0.6184971098265897,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.2499492795438699,288,0.7638888888888888,0.7643295108035939,0.3728527866072106,0.1590975697526097,0.8786127167630058,0.1213872832369942,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.0472183835632649,288,0.25,0.1,0.7596510240534082,0.1112183392174765,0.3236994219653179,0.676300578034682,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.0198514666445105,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.1320728989709032,0.2947976878612717,0.7052023121387283,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.2556723442681178,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3179190751445087,0.6820809248554913,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.0510965539100804,288,0.3715277777777778,0.2912243191591017,0.616494081391787,0.1553759622190216,0.4450867052023121,0.5549132947976878,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.1320000686518848,288,0.6145833333333334,0.6138784563700577,0.5811393243628447,0.1971776385614611,0.7167630057803468,0.2832369942196532,0.6006944444444444
local_iiia_lda_margin,BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,margin,0.6,0.0553932523476116,264,0.3825757575757575,0.2978048225659691,0.7288017891068067,0.0378521537626552,0.4339622641509434,0.5660377358490566,0.6022727272727273
local_iiia_lda_margin,BCI_IIIa,k3b,stratified_trial_split,v1_lda,True,True,margin,0.6,0.2722519785896635,63,0.8571428571428571,0.85766065830721,0.288678174674383,0.2676200758663325,1.0,0.0,0.6031746031746031
local_iiia_lda_margin,BCI_IIIa,k6b,stratified_trial_split,v1_lda,True,True,margin,0.6,0.0837007759045913,42,0.6190476190476191,0.5920670995670996,0.5877298108494169,0.1923275795789268,0.6923076923076923,0.3076923076923077,0.6190476190476191
local_iiia_lda_margin,BCI_IIIa,l1b,stratified_trial_split,v1_lda,True,True,margin,0.6,0.0691483353146647,42,0.5,0.4653607262302914,0.6226126256289278,0.1529548935900961,0.5769230769230769,0.4230769230769231,0.6190476190476191
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.4036849834805389,288,0.46875,0.4162535795798524,0.5942997169611053,0.069988368301103,0.5028901734104047,0.4971098265895953,0.6006944444444444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.4697715675539423,288,0.46875,0.4162535795798524,0.5985357928503199,0.0984433561643233,0.4971098265895953,0.5028901734104047,0.6006944444444444
